Date;EURUSD;USDKZT;EURKZT;CROSS_RATIO;EURUSD_RET;USDKZT_RET;EURKZT_RET;SMA_5;SMA_10;SMA_20;EMA_5;EMA_10;EMA_20;RSI_14;MACD;MACD_SIGNAL;VOL_10;VOL_20
2010-02-01;1.3926994800567627;175.8800048828125;244.94799135267385;0.007918463960611712;0.004321987427387519;-0.00028417494472606896;0.004037812482661319;245.91076762874;247.46504934361366;250.77373389550812;245.8634284966315;247.51275886464288;249.60425335174048;21.006521991734985;-2.2998677316124088;-1.5467244075221238;0.005523954915266641;0.0054428890858007695
2010-02-02;1.3976240158081055;175.6999969482422;245.56253531227412;0.007954604667522097;0.003529727554191717;-0.001023994250878773;0.0025057333033129126;245.45630735188533;246.9081259476461;250.39688775658541;245.7631307685124;247.15817276421217;249.21932782417224;20.120172851068773;-2.328054632029591;-1.7029904524236175;0.0053703583410425245;0.005497823287545974
2010-02-03;1.3901052474975586;175.75;244.31099724769592;0.007909560440953391;-0.005394201396022098;0.00028455286686237245;-0.00510964852915964;244.9351719403112;246.51490156052424;249.92968575090907;245.2790862615736;246.64050448848195;248.75186776926972;19.036514366845182;-2.423445643125831;-1.8470814905640602;0.0044301839102978465;0.005481326658190376
2010-02-04;1.3744947910308838;175.64999389648438;241.4300016553243;0.007825191225687792;-0.011293223003581414;-0.0005691867271064164;-0.01186240973068785;244.0424913972194;245.87534741801937;249.39773771418896;243.99605805949054;245.69314033699874;248.05454718698923;18.2139480050741;-2.700387586332056;-2.0177427097176595;0.005493994992620794;0.00584755102449552
2010-02-05;1.368007779121399;175.72000122070312;240.3863286171436;0.00778515689516295;-0.004730733220285858;0.00039848209077595454;-0.00433225112950992;243.32757083702236;245.06104827361304;248.72088353540738;242.79281491204156;244.72826547884324;247.32424065652773;16.188031733113903;-2.969847213413061;-2.2081636104567397;0.005161418582276112;0.0054174733934570255
2010-02-08;1.3654673099517822;175.83999633789062;240.10376678143075;0.007765396601396235;-0.0018587840154328738;0.0006826437744944428;-0.0011761402409384326;242.35872592277374;244.13474677575687;247.9518090053537;241.8964655351713;243.88744753385913;246.63657647794707;18.15235806182747;-3.16965843846603;-2.400462576058598;0.004684703704289372;0.0050194602400829
2010-02-09;1.378207802772522;175.97000122070312;242.52322873626326;0.007832061108211061;0.009287239831575736;0.0007390630717274265;0.010026302903303298;241.75086460757157;243.60358597972845;247.33639131046849;242.10538660220197;243.63940775247806;246.2448290739772;33.021249830166425;-3.0970787188090014;-2.5397858046086785;0.006293059345369982;0.0058169873922226745
2010-02-10;1.3753266334533691;175.97999572753906;242.02997507909458;0.007815244157538894;-0.002092706982513662;5.679503864340621e-05;-0.0020359119438702012;241.2946601738513;243.11491605708125;246.65612741426813;242.08024942783285;243.34678363004468;245.8434144077979;32.873796233781064;-3.044267791799882;-2.640682202046919;0.006269611507997172;0.005666748326582493
2010-02-11;1.3681762218475342;175.72999572753906;240.42960161978772;0.0077856726518609025;-0.005212626465916843;-0.0014216260451987567;-0.006634252511115694;241.09458016674398;242.5685357819817;245.91044690175096;241.53003349181782;242.81638690090705;245.32781318989217;27.269401711193822;-3.095864318198437;-2.731718625277223;0.006411825209920449;0.005718374901633576
2010-02-12;1.363493800163269;175.80999755859375;239.71584167786204;0.007755496383013403;-0.003428251752621481;0.00045515067396997437;-0.002973101078651393;240.96048277888767;242.14402680795502;245.23290097966256;240.9253028871659;242.25265140580794;244.79333971255596;22.72678197973258;-3.1579465571178957;-2.816964211645358;0.006112556370058853;0.00558835037155142
2010-02-15;1.3603036403656006;175.86000061035156;239.22299902495797;0.007735150890733761;-0.0023424364887807947;0.0002843748534429116;-0.002058061635337789;240.7843292275931;241.57152757518344;244.51828845939855;240.35786826642993;241.70180551838064;244.26283107564186;24.1447895078458;-3.2099135763648974;-2.895554084589266;0.005764687485555243;0.005522519204291296
