iter	RMSE
0	103.4460639
1	100.4832527
2	97.62194681
3	94.88557022
4	92.18715652
5	89.63153607
6	87.10694471
7	84.61135714
8	82.2057045
9	79.87115864
10	77.63386368
11	75.39075
12	73.20702086
13	71.09151122
14	69.08518005
15	67.11804815
16	65.17228662
17	63.30998304
18	61.51605701
19	59.79917222
20	58.1301598
21	56.49864088
22	54.91065908
23	53.34219971
24	51.89807281
25	50.43584035
26	48.99250568
27	47.59430754
28	46.24386962
29	44.9655228
30	43.70731921
31	42.47933722
32	41.27567221
33	40.11412064
34	38.99459635
35	37.90123408
36	36.847203
37	35.81913583
38	34.82579104
39	33.85808168
40	32.9465023
41	32.02956564
42	31.14351627
43	30.26667151
44	29.44642347
45	28.62868189
46	27.83645559
47	27.08046601
48	26.33214911
49	25.63325087
50	24.94632377
51	24.28318606
52	23.64580392
53	23.00822669
54	22.41881669
55	21.83784997
56	21.25196447
57	20.68505099
58	20.14244029
59	19.6295623
60	19.10765076
61	18.59347834
62	18.09934711
63	17.61442297
64	17.14481914
65	16.70085361
66	16.26676928
67	15.84411598
68	15.44037751
69	15.05575006
70	14.67286888
71	14.30292439
72	13.94628926
73	13.61523619
74	13.27888145
75	12.94982616
76	12.64287339
77	12.35294487
78	12.06058478
79	11.77996607
80	11.5063019
81	11.24031245
82	10.98400481
83	10.73863584
84	10.50409923
85	10.26591077
86	10.04051518
87	9.822305208
88	9.60754385
89	9.399008
90	9.195987155
91	9.002786252
92	8.820786586
93	8.6401807
94	8.460453496
95	8.290555949
96	8.126376252
97	7.973572292
98	7.823397638
99	7.673796779
100	7.529534958
101	7.394816797
102	7.262405742
103	7.128567042
104	7.006573613
105	6.885755888
106	6.77142734
107	6.663834938
108	6.555042163
109	6.454917885
110	6.357743434
111	6.261076915
112	6.165738003
113	6.073998878
114	5.98917275
115	5.90632858
116	5.822500365
117	5.745589319
118	5.670045433
119	5.596149604
120	5.523446273
121	5.46160847
122	5.401647747
123	5.338701612
124	5.279440737
125	5.219625804
126	5.163117535
127	5.105244868
128	5.057996545
129	5.007968363
130	4.961512528
131	4.916120569
132	4.875203367
133	4.833279577
134	4.79250389
135	4.756994304
136	4.717436008
137	4.67833991
138	4.640102527
139	4.604637735
140	4.572228829
141	4.541358735
142	4.510327836
143	4.482128844
144	4.454882131
145	4.426521708
146	4.40083553
147	4.374749582
148	4.353762957
149	4.326447325
150	4.30216417
151	4.279918672
152	4.260123277
153	4.237186592
154	4.217160936
155	4.197220012
156	4.176736771
157	4.154743044
158	4.134385655
159	4.116229073
160	4.098440393
161	4.080313284
162	4.062639947
163	4.04632595
164	4.033199951
165	4.018003356
166	4.001227958
167	3.98596389
168	3.972528882
169	3.958541711
170	3.942467636
171	3.93122769
172	3.918518849
173	3.904799433
174	3.893763245
175	3.884312546
176	3.872125158
177	3.860511555
178	3.850730358
179	3.841823725
180	3.832375831
181	3.821427174
182	3.808558632
183	3.797127199
184	3.788145493
185	3.776699008
186	3.765530642
187	3.756217186
188	3.748933852
189	3.740439114
190	3.730210902
191	3.721084634
192	3.711622393
193	3.705505422
194	3.69679244
195	3.685988129
196	3.677029634
197	3.670650238
198	3.663468544
199	3.656922802
200	3.649691993
201	3.641892419
202	3.634566133
203	3.627141715
204	3.620952547
205	3.614608943
206	3.604048977
207	3.598518852
208	3.592639634
209	3.587821969
210	3.580292745
211	3.572989571
212	3.566454675
213	3.56126281
214	3.552786763
215	3.549069762
216	3.54229292
217	3.537660359
218	3.531787082
219	3.525911446
220	3.522056518
221	3.517151729
222	3.510500958
223	3.504708766
224	3.500230139
225	3.496404917
226	3.490611852
227	3.486625084
228	3.482310387
229	3.47640826
230	3.469940153
231	3.465271403
232	3.461773812
233	3.456947167
234	3.453906463
235	3.449437644
236	3.446415079
237	3.441333591
238	3.436760559
239	3.434103217
240	3.428218304
241	3.425429388
242	3.421431495
243	3.415354778
244	3.411948557
245	3.406429517
246	3.401980042
247	3.398287245
248	3.39461715
249	3.389815015
250	3.38618298
251	3.380748693
252	3.37506945
253	3.371054961
254	3.366692548
255	3.363082061
256	3.359693629
257	3.354491331
258	3.349658055
259	3.345343822
260	3.342536438
261	3.339204319
262	3.335345271
263	3.331445597
264	3.32687384
265	3.322574386
266	3.317686804
267	3.312930321
268	3.308939706
269	3.306021773
270	3.302931042
271	3.29733121
272	3.294455126
273	3.290032975
274	3.285688807
275	3.281276863
276	3.278219594
277	3.275922621
278	3.270683302
279	3.264285662
280	3.259745925
281	3.254864452
282	3.249706357
283	3.244302789
284	3.240979104
285	3.236985405
286	3.232743418
287	3.228730484
288	3.225579583
289	3.222823019
290	3.216819916
291	3.213921136
292	3.211042096
293	3.208491609
294	3.205814062
295	3.201150493
296	3.196029261
297	3.193744233
298	3.190798697
299	3.187576734
